county1, county2, distance, netmig
57,59,65,-9
57,61,413,-9
57,69,1146,-9
58,67,1401,-9
59,71,2166,-9
61,63,1296,-9
63,65,386,-9
71,72,513,-9
0,41,605,-8
0,65,1701,-8
3,73,869,-8
4,45,642,-8
5,8,591,-8
5,33,731,-8
6,40,1183,-8
6,60,1485,-8
7,26,1730,-8
7,40,1717,-8
8,37,524,-8
9,53,673,-8
9,69,588,-8
9,70,719,-8
11,15,1182,-8
14,45,904,-8
14,63,425,-8
14,72,1136,-8
18,43,343,-8
18,51,125,-8
19,43,1326,-8
19,69,505,-8
24,39,1127,-8
24,48,1189,-8
25,30,1473,-8
25,36,750,-8
26,37,826,-8
26,71,357,-8
26,72,590,-8
31,49,1030,-8
31,70,710,-8
33,40,591,-8
33,65,211,-8
36,37,1322,-8
36,58,624,-8
37,65,362,-8
41,42,1521,-8
44,55,208,-8
44,67,1121,-8
44,68,1099,-8
47,72,493,-8
50,53,2374,-8
50,67,1183,-8
60,64,1807,-8
62,64,1770,-8
62,73,1452,-8
64,71,634,-8
67,71,1082,-8
69,71,966,-8
69,72,799,-8
0,20,975,-7
0,21,2280,-7
0,33,1490,-7
0,54,687,-7
0,73,1473,-7
3,64,849,-7
4,10,302,-7
5,21,1585,-7
5,30,977,-7
5,37,672,-7
5,64,946,-7
6,23,1000,-7
6,27,1179,-7
7,9,1504,-7
7,24,1750,-7
7,34,1614,-7
8,17,1023,-7
8,65,508,-7
9,15,603,-7
9,73,1170,-7
10,63,879,-7
11,37,553,-7
11,71,1054,-7
13,22,748,-7
13,43,339,-7
13,48,862,-7
14,27,1387,-7
14,37,437,-7
14,46,974,-7
15,34,470,-7
15,40,396,-7
16,19,473,-7
16,53,1103,-7
17,21,465,-7
17,36,2316,-7
17,72,493,-7
18,34,589,-7
18,40,788,-7
18,63,1034,-7
20,21,1683,-7
20,48,587,-7
21,37,933,-7
24,26,434,-7
25,63,1220,-7
29,32,1413,-7
29,68,146,-7
30,33,417,-7
31,45,1089,-7
33,73,828,-7
35,67,1238,-7
36,39,1413,-7
41,53,2104,-7
43,45,658,-7
44,69,1163,-7
46,57,883,-7
47,56,1009,-7
47,67,1400,-7
50,64,1586,-7
52,69,546,-7
58,59,454,-7
58,64,1744,-7
61,65,1664,-7
65,73,909,-7
0,5,865,-6
0,6,1454,-6
0,13,1931,-6
0,16,1390,-6
0,36,680,-6
3,21,1344,-6
3,43,1321,-6
4,43,363,-6
5,34,1181,-6
5,48,734,-6
5,63,543,-6
6,21,1431,-6
6,61,1428,-6
6,64,641,-6
7,15,2075,-6
7,23,1680,-6
8,21,1171,-6
8,22,1334,-6
8,40,916,-6
9,48,1122,-6
11,61,1421,-6
11,73,378,-6
12,20,1205,-6
14,24,1157,-6
17,46,2340,-6
17,56,969,-6
18,71,416,-6
19,45,910,-6
19,53,1563,-6
22,27,442,-6
22,56,995,-6
25,42,1819,-6
25,46,624,-6
25,51,2282,-6
25,64,1660,-6
26,27,308,-6
26,32,745,-6
29,60,1638,-6
29,72,1091,-6
31,56,1322,-6
32,42,640,-6
32,45,731,-6
33,36,1491,-6
34,42,113,-6
36,61,661,-6
36,68,1739,-6
37,72,699,-6
39,40,1135,-6
42,68,926,-6
49,62,1352,-6
55,56,1311,-6
60,63,1361,-6
66,72,624,-6
68,72,1152,-6
0,27,2311,-5
0,34,1962,-5
0,48,1561,-5
0,53,2493,-5
0,72,2051,-5
3,46,1003,-5
3,52,1051,-5
4,12,713,-5
4,23,432,-5
4,34,493,-5
5,40,1322,-5
5,51,1547,-5
6,53,1509,-5
6,55,963,-5
6,56,1116,-5
6,58,1442,-5
6,72,1227,-5
7,12,1435,-5
7,16,1072,-5
7,27,1955,-5
7,28,1671,-5
7,43,1909,-5
7,46,751,-5
7,67,1035,-5
8,36,1644,-5
8,55,899,-5
8,72,958,-5
9,22,707,-5
9,55,1003,-5
10,65,503,-5
11,43,928,-5
11,47,1374,-5
13,27,390,-5
14,23,1101,-5
14,30,684,-5
14,69,547,-5
15,70,157,-5
16,43,929,-5
17,45,682,-5
17,48,1238,-5
18,39,1200,-5
18,54,1778,-5
18,70,550,-5
22,71,419,-5
23,24,154,-5
25,53,2397,-5
25,72,1960,-5
26,30,911,-5
26,69,669,-5
28,45,318,-5
28,69,658,-5
28,73,1160,-5
29,47,1420,-5
30,31,1331,-5
32,40,502,-5
32,47,7,-5
35,45,1721,-5
36,69,1535,-5
37,48,904,-5
38,48,1299,-5
44,47,1116,-5
44,49,1212,-5
44,53,1043,-5
44,56,1512,-5
44,73,1167,-5
48,65,860,-5
50,71,2211,-5
51,63,1122,-5
52,65,595,-5
52,68,470,-5
52,73,591,-5
53,56,976,-5
54,59,295,-5
54,72,1709,-5
58,69,1400,-5
58,72,2003,-5
62,63,1326,-5
63,72,813,-5
64,73,756,-5
0,2,1967,-4
0,17,2360,-4
0,28,2011,-4
0,56,1568,-4
0,63,1332,-4
0,67,1424,-4
2,73,1226,-4
3,18,1429,-4
3,26,1170,-4
3,32,1592,-4
4,5,1672,-4
4,19,1491,-4
4,26,578,-4
4,28,423,-4
5,65,928,-4
5,69,606,-4
6,9,1044,-4
6,18,1010,-4
6,65,784,-4
6,71,1234,-4
7,8,1067,-4
7,13,1569,-4
7,72,1738,-4
8,26,698,-4
8,28,787,-4
8,51,955,-4
8,71,1034,-4
10,37,783,-4
10,73,1375,-4
11,38,1238,-4
11,45,854,-4
11,51,960,-4
11,70,1205,-4
12,16,366,-4
13,56,695,-4
14,18,1459,-4
14,34,1036,-4
14,53,1570,-4
14,56,701,-4
14,70,1570,-4
15,37,1049,-4
15,48,1414,-4
15,72,403,-4
16,32,1150,-4
16,34,597,-4
17,23,338,-4
17,42,473,-4
18,20,1454,-4
18,57,2015,-4
18,65,760,-4
19,20,497,-4
20,29,656,-4
20,53,1821,-4
20,55,1431,-4
20,56,1156,-4
20,63,644,-4
21,42,436,-4
21,70,438,-4
22,39,1589,-4
22,68,1501,-4
25,33,1384,-4
25,34,1856,-4
25,66,2582,-4
26,34,311,-4
26,56,901,-4
27,45,647,-4
28,70,491,-4
29,59,1275,-4
30,39,904,-4
30,49,685,-4
31,63,1106,-4
32,43,528,-4
32,72,489,-4
35,43,2125,-4
37,40,679,-4
38,39,940,-4
40,67,966,-4
41,60,635,-4
41,70,2062,-4
43,69,850,-4
44,46,2684,-4
44,63,1293,-4
46,63,1392,-4
46,65,1695,-4
47,49,1320,-4
47,63,1272,-4
47,73,1697,-4
48,63,688,-4
53,69,1160,-4
58,63,1296,-4
59,73,1098,-4
60,65,1729,-4
60,69,1462,-4
60,71,2406,-4
60,73,1503,-4
67,72,1008,-4
0,12,1739,-3
0,15,2411,-3
0,18,2340,-3
0,37,1362,-3
0,42,1920,-3
0,55,2353,-3
1,49,1005,-3
2,48,1167,-3
2,63,702,-3
3,40,1091,-3
3,42,965,-3
3,60,983,-3
4,60,2453,-3
4,69,1077,-3
5,10,1421,-3
5,53,1751,-3
5,71,1573,-3
5,72,1351,-3
6,12,1067,-3
6,25,1319,-3
6,26,879,-3
6,32,1580,-3
7,32,2217,-3
7,49,985,-3
7,53,2166,-3
8,10,995,-3
8,23,757,-3
11,18,903,-3
12,23,433,-3
13,54,1454,-3
15,30,943,-3
15,45,637,-3
16,18,1107,-3
16,46,1344,-3
16,65,353,-3
16,72,666,-3
17,30,984,-3
17,73,1326,-3
18,23,556,-3
18,28,633,-3
19,22,1605,-3
19,33,546,-3
19,37,437,-3
19,48,863,-3
19,60,973,-3
19,66,1761,-3
20,64,970,-3
23,27,292,-3
24,27,321,-3
25,37,1264,-3
25,40,1943,-3
25,43,2158,-3
25,52,1769,-3
26,33,657,-3
26,45,664,-3
26,46,2152,-3
26,47,753,-3
26,61,2068,-3
26,63,776,-3
27,28,337,-3
27,48,1193,-3
27,72,468,-3
28,46,1964,-3
28,66,736,-3
29,66,1600,-3
31,37,1206,-3
31,54,1782,-3
